sku_internal_id,erp_code,product_name,cdKey,cdMiraGapRaw,cdTermDisplay,xLojas,rawSum,productionTotal,minFinalCd,p150TodayCd,dispTodayCd,error
3569,12672,"CORTINA LUX DUAL LINHO BORDADO TULIPAS PER/BEG 5.80X2,60",Fábrica,1,1,8,9,9,1,1,0,
3570,12670,CORTINA LUX UNICA FLAME TRIGO 5.80X2.60,Fábrica,5,5,8,13,13,1,4.920644702002386,0,
3571,Cdigo,Descrio,Fábrica,1,1,0,1,1,1,1,0,
3572,C?digo,Descri??o,Fábrica,1,1,0,1,1,1,1,0,
3573,Cãdigo do produto,Descri o,Fábrica,1,1,0,1,1,1,1,0,
3574,12674,CORTINA CORTA LUZ ZURIQUE BRANCO 2.60X1.70,Fábrica,1,1,9,10,10,1,1,0,
3575,12676,CORTINA CORTA LUZ ZURIQUE PRATA 2.60X1.70,Fábrica,2,2,8,10,10,1,1.6840192695776945,0,
3576,12675,CORTINA CORTA LUZ ZURIQUE BRANCO 4.00X2.60,Fábrica,1,1,8,9,9,1,1.0077783181995636,0,
3577,12677,CORTINA CORTA LUZ ZURIQUE PRATA 4.00X2.60,Fábrica,1,1,8,9,9,1,1,0,
3578,69,TEC. CORTA LUZ ZURIQUE BRANCO 2.80 MT,Fábrica,1,1,0,1,1,1,1,0,
3579,70,TEC. CORTA LUZ ZURIQUE PRATA 2.80 MT,Fábrica,0,3,0,0,3,3,21.368077941220932,35.2,
3580,12697,JOGO DE CAMA SOLTEIRO 180F C/ ELAST IMPERIALLE 2 PEÇAS,Fábrica,0,0,8,8,8,2,9.40321395136476,28,
3581,12698,JOGO DE CAMA CASAL 180F C/ ELAST IMPERIALLE 3 PEÇAS,Fábrica,12,12,8,20,20,2,12.033855574106424,0,
3582,12699,JOGO DE CAMA QUEEN 180F C/ ELAST IMPERIALLE 3 PEÇAS,Fábrica,0,0,8,8,8,2,8.967311761150238,21,
3583,12700,JOGO DE CAMA KING 180F C/ ELAST IMPERIALLE 3 PEÇAS,Fábrica,0,0,8,8,8,1,3.8458483705404793,19,
3584,12701,FRONHA AVULSA 180F ALG IMPERIALLE 50X70,Fábrica,1,1,9,10,10,1,1,0,
3585,12678,PRODUTO MAR 1,Fábrica,1,1,5,6,6,1,1,0,
3586,12679,PRODUTO MAR 2,Fábrica,1,1,2,3,3,1,1,0,
3587,12680,PRODUTO MAR 3,Fábrica,1,1,4,5,5,1,1,0,
3588,12681,PRODUTO MAR 4,Fábrica,1,1,6,7,7,1,1,0,
3589,12682,PRODUTO MAR 5,Fábrica,1,1,8,9,9,1,1,0,
3590,12683,PRODUTO MAR 6,Fábrica,1,1,6,7,7,1,1,0,
3591,12684,PRODUTO MAR 7,Fábrica,1,1,4,5,5,1,1,0,
3592,12685,PRODUTO MAR 8,Fábrica,1,1,7,8,8,1,1,0,
3593,12686,PRODUTO MAR 9,Fábrica,1,1,8,9,9,1,1,0,
3594,12687,PRODUTO MAR 10,Fábrica,1,1,7,8,8,1,1,0,
3595,12688,PRODUTO MAR 11,Fábrica,1,1,8,9,9,1,1,0,
3596,12689,PRODUTO MAR 12,Fábrica,1,1,8,9,9,1,1,0,
3597,12690,PRODUTO MAR 13,Fábrica,1,1,8,9,9,1,1,0,
3598,12691,PRODUTO MAR 14,Fábrica,1,1,7,8,8,1,1,0,
3599,12692,PRODUTO MAR 15,Fábrica,1,1,4,5,5,1,1,0,
3600,12693,PRODUTO MAR 16,Fábrica,1,1,4,5,5,1,1,0,
3601,12694,PRODUTO MAR 17,Fábrica,1,1,3,4,4,1,1,0,
3602,12695,PRODUTO MAR 18,Fábrica,1,1,3,4,4,1,1,0,
3603,12696,PRODUTO MAR 19,Fábrica,1,1,8,9,9,1,1,0,
3604,71,TEC VOIL C/B BORDADO DUQUESA BEGE/BCO 2.80 MT,Fábrica,3,3,0,3,3,1,3.1389443733410896,0,
3605,12702,CORTINA LUX DUAL LINHO BORDADO DUQUESA BEGE/BCO 4.00X2.60,Fábrica,18,18,8,26,26,3,19.043099093251588,1,
3606,12704,TRAVESSEIRO TOQUE DE SEDA 0.50X0.70,Fábrica,1,1,8,9,9,1,1,0,
3607,12703,TRAVESSEIRO TRISOFT PLUS 0.50X0.70,Fábrica,1,1,8,9,9,1,1,0,
3608,12705,PROTETOR DE TRAVESSEIROS PERCAL 200 FIOS,Fábrica,1,1,8,9,9,1,1.0232780097798648,0,
3609,12706,COBERTOR DEXTER CORTTEX CASAL LISO,Fábrica,1,1,8,9,9,1,1,0,
3610,12707,KIT COLCHA SIENA CASAL 3 PÇS,Fábrica,1,1,8,9,9,1,1,0,
3611,12709,KIT COLCHA SIENA KING 3 PÇS,Fábrica,5,5,8,13,13,1,5.069148021626878,0,
3612,12708,KIT COLCHA SIENA QUEEN 3 PÇS,Fábrica,1,1,8,9,9,1,1.191475675025493,0,
3613,12710,KIT COLCHA SIENA SOLTEIRO 2 PÇS,Fábrica,10,10,8,18,18,2,9.67676653483375,0,
3614,12711,PRODUTO MAR 20,Fábrica,1,1,0,1,1,1,1,0,
3615,12712,PRODUTO MAR 21,Fábrica,1,1,6,7,7,1,1,0,
3616,12713,PRODUTO MAR 22,Fábrica,1,1,8,9,9,1,1,0,
3617,12714,PRODUTO MAR 23,Fábrica,1,1,7,8,8,1,1,0,
3618,12715,PRODUTO MAR 24,Fábrica,1,1,7,8,8,1,1,0,
3619,12716,MANTA P/SOFA FILATO 1.20X1.50,Fábrica,0,0,8,8,8,2,13.604511213002365,54,
3620,12717,MANTA P/SOFA JACQUARD TESSI 1.20X1.50,Fábrica,5,5,8,13,13,1,4.714554241929298,0,
3621,12718,PRODUTO MAR 25,Fábrica,1,1,0,1,1,1,1,0,
3622,12719,COBERTOR DEXTER CORTTEX QUEEN LISO,Fábrica,1,1,8,9,9,1,1,0,
3623,12720,KIT COLCHA CORTTEX INF. FEMININO,Fábrica,1,1,8,9,9,1,1,0,
3624,12721,KIT COLCHA CORTTEX INF. MASCULINO,Fábrica,1,1,8,9,9,1,1,0,
3625,12722,CORTINA FLAME KAKI 4.00X2.60,Fábrica,1,1,7,8,8,1,1,0,
3626,12723,"TOALHA DE MESA 4 LUG. 1,40X1,40 ",Fábrica,0,0,8,8,8,1,1.3336298708039578,2,
3627,12724,"TOALHA DE MESA 6 LUG. 1,40X2,10",Fábrica,3,3,8,11,11,1,2.8134097385662664,0,
3628,12725,CAPA SOFA 2/3 LUG LIGHT JULIANA 2PCS KAKI,Fábrica,1,1,6,7,7,1,1,0,
3633,12727,CAPA MAQUINA DE LAVAR KORINO C/ ZIPER M,Fábrica,1,1,8,9,9,1,1,0,
3634,12726,"TOALHA DE MESA 8 LUG. 1,80X2,50",Fábrica,1,1,3,4,4,1,1,0,
3635,12728,"CAPACHO 0,60X1,20 KAP VINIL SILVER VERDE",Fábrica,1,1,6,7,7,1,1,0,
3636,12730,"CAPACHO 0,60X1,20 KAP VINIL SILVER AMARELO",Fábrica,1,1,5,6,6,1,1,0,
3637,12729,"CAPACHO 0,60X1,20 KAP VINIL SILVER PRETO",Fábrica,1,1,5,6,6,1,1,0,
