sku_internal_id,erp_code,product_name,store,is_factory_or_cd,disponivel,fisico,vitrine,min_stock,alvo_p150,sugestao_unidades,ruptura_pct,unidades_perdidas_estimadas,prioridade,acao_sugerida,data_file
3041,12108,"CORTA LUZ 4,00X2,60 SANJAN EST, ROSE",G2,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3041.js
3041,12108,"CORTA LUZ 4,00X2,60 SANJAN EST, ROSE",Fábrica,true,0,0,0,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3041.js
3042,12109,"CORTA LUZ 2,60X1,80 SANJAN EST,TABACO",Guaranis,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3042.js
3042,12109,"CORTA LUZ 2,60X1,80 SANJAN EST,TABACO",G2,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3042.js
3042,12109,"CORTA LUZ 2,60X1,80 SANJAN EST,TABACO",Tupis,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3042.js
3042,12109,"CORTA LUZ 2,60X1,80 SANJAN EST,TABACO",Babita,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3042.js
3042,12109,"CORTA LUZ 2,60X1,80 SANJAN EST,TABACO",Venda Nova,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3042.js
3042,12109,"CORTA LUZ 2,60X1,80 SANJAN EST,TABACO",Fábrica,true,0,0,0,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3042.js
3043,12110,"CORTA LUZ 4,00X2,60 SANJAN EST, TABACO",Betim,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3043.js
3043,12110,"CORTA LUZ 4,00X2,60 SANJAN EST, TABACO",G2,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3043.js
3043,12110,"CORTA LUZ 4,00X2,60 SANJAN EST, TABACO",Babita,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3043.js
3043,12110,"CORTA LUZ 4,00X2,60 SANJAN EST, TABACO",Guaranis,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3043.js
3043,12110,"CORTA LUZ 4,00X2,60 SANJAN EST, TABACO",Barreiro,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3043.js
3043,12110,"CORTA LUZ 4,00X2,60 SANJAN EST, TABACO",Fábrica,true,0,0,0,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3043.js
3044,12111,JOGO DE BANHEIRO VS REAL 2PS,G2,false,0,1,1,,3,3,1.9231,1.2604,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3044.js
3044,12111,JOGO DE BANHEIRO VS REAL 2PS,Barreiro,false,0,1,1,,3,3,1.9231,1.4699,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3044.js
3044,12111,JOGO DE BANHEIRO VS REAL 2PS,Babita,false,0,1,1,,3,3,1.9231,1.7811,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3044.js
3044,12111,JOGO DE BANHEIRO VS REAL 2PS,Betim,false,0,0,1,,3,3,1.9231,2.7303,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3044.js
3044,12111,JOGO DE BANHEIRO VS REAL 2PS,Tupis,false,0,0,1,,3,3,1.9231,2.513,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3044.js
3044,12111,JOGO DE BANHEIRO VS REAL 2PS,Guaranis,false,0,1,1,,3,3,0.8974,1.1043,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3044.js
3044,12111,JOGO DE BANHEIRO VS REAL 2PS,Venda Nova,false,0,0,1,,3,3,1.9231,2.7811,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3044.js
3044,12111,JOGO DE BANHEIRO VS REAL 2PS,Eldorado 2,false,0,1,1,,3,3,2.3077,5.429,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3044.js
3044,12111,JOGO DE BANHEIRO VS REAL 2PS,Fábrica,true,0,0,0,,3,3,3.4615,8.627,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3044.js
3045,12265,"PERSIANA 2,00X2,00 ROLO RAMI 144",Tupis,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3045.js
3045,12265,"PERSIANA 2,00X2,00 ROLO RAMI 144",Barreiro,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3045.js
3045,12265,"PERSIANA 2,00X2,00 ROLO RAMI 144",Betim,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3045.js
3045,12265,"PERSIANA 2,00X2,00 ROLO RAMI 144",G2,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3045.js
3045,12265,"PERSIANA 2,00X2,00 ROLO RAMI 144",Fábrica,true,0,0,0,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3045.js
3046,12266,"PERSIANA 2,00X2,00 ROLO KAIL 213",Betim,false,0,0,1,,3,3,1.9231,2.5208,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3046.js
3046,12266,"PERSIANA 2,00X2,00 ROLO KAIL 213",Barreiro,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3046.js
3046,12266,"PERSIANA 2,00X2,00 ROLO KAIL 213",Tupis,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3046.js
3046,12266,"PERSIANA 2,00X2,00 ROLO KAIL 213",Fábrica,true,0,0,0,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3046.js
3047,12264,"PERSIANA 2,00X2,00 ROLO BAHR 032",Barreiro,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3047.js
3047,12264,"PERSIANA 2,00X2,00 ROLO BAHR 032",Tupis,false,1,2,1,,3,2,0,0,EQUILIBRADO,Repor +2 u (vs. alvo P150),sku_3047.js
3047,12264,"PERSIANA 2,00X2,00 ROLO BAHR 032",Betim,false,0,0,1,,3,3,1.9231,1.2604,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3047.js
3047,12264,"PERSIANA 2,00X2,00 ROLO BAHR 032",Fábrica,true,0,0,0,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3047.js
3048,K282,PERSIANA 2.00X2.00 ROLO MADA 282,Tupis,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3048.js
3048,K282,PERSIANA 2.00X2.00 ROLO MADA 282,Fábrica,true,0,0,0,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3048.js
3049,12267,"""""""PERSIANA 2,00X2,00 ROLO MADA 281""""""",Tupis,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3049.js
3049,12267,"""""""PERSIANA 2,00X2,00 ROLO MADA 281""""""",Barreiro,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3049.js
3049,12267,"""""""PERSIANA 2,00X2,00 ROLO MADA 281""""""",Betim,false,0,0,1,,3,3,1.9231,1.2604,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3049.js
3049,12267,"""""""PERSIANA 2,00X2,00 ROLO MADA 281""""""",Babita,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3049.js
