sku_internal_id,erp_code,product_name,store,demand,baseRep,minFinal,p150Today,dispToday,curveClass,ltDaysOperational,error
1897,K992,PERSIANA 1.60X1.80 PVC TEXTURIZADA 992,Barreiro,1,0,1,1,1,C,16,
1897,K992,PERSIANA 1.60X1.80 PVC TEXTURIZADA 992,Betim,1,0,1,1,1,C,16,
1897,K992,PERSIANA 1.60X1.80 PVC TEXTURIZADA 992,Venda Nova,1,0,1,1,4,C,16,
1897,K992,PERSIANA 1.60X1.80 PVC TEXTURIZADA 992,Guaranis,1,0,1,1,3,C,16,
1898,K993,PERSIANA 1.60X1.80 PVC TEXTURIZADA 993,Barreiro,1,0,1,1,2,C,16,
1898,K993,PERSIANA 1.60X1.80 PVC TEXTURIZADA 993,Tupis,1,0,1,1,2,C,16,
1898,K993,PERSIANA 1.60X1.80 PVC TEXTURIZADA 993,Venda Nova,1,1,1,1,0,C,16,
1898,K993,PERSIANA 1.60X1.80 PVC TEXTURIZADA 993,Eldorado 2,1,0,1,1,4,C,16,
1898,K993,PERSIANA 1.60X1.80 PVC TEXTURIZADA 993,Betim,1,0,1,1,2,C,16,
1898,K993,PERSIANA 1.60X1.80 PVC TEXTURIZADA 993,G2,1,0,1,1,1,C,16,
1898,K993,PERSIANA 1.60X1.80 PVC TEXTURIZADA 993,Babita,1,1,1,1,0,C,16,
1899,K994,PERSIANA 1.60X1.80 PVC TEXTURIZADA 994,Venda Nova,1,0,1,1,1,C,5,
1899,K994,PERSIANA 1.60X1.80 PVC TEXTURIZADA 994,Babita,1,1,1,1,0,C,16,
1899,K994,PERSIANA 1.60X1.80 PVC TEXTURIZADA 994,Barreiro,1,1,1,1,0,C,16,
1899,K994,PERSIANA 1.60X1.80 PVC TEXTURIZADA 994,G2,1,0,1,1,2,C,16,
1899,K994,PERSIANA 1.60X1.80 PVC TEXTURIZADA 994,Tupis,1,1,1,1,0,C,16,
1899,K994,PERSIANA 1.60X1.80 PVC TEXTURIZADA 994,Eldorado 2,1,1,1,1,0,C,16,
1899,K994,PERSIANA 1.60X1.80 PVC TEXTURIZADA 994,Betim,1,1,1,1,0,C,16,
1899,K994,PERSIANA 1.60X1.80 PVC TEXTURIZADA 994,Guaranis,1,0,1,1,2,C,16,
1902,K893,PERSIANA 1.60X1.80 PVC TRABALHADA 893,Venda Nova,1,1,1,1,0,C,16,
1906,K197,PERSIANA 1.50x1.70 TEC BLACK-OUT 197,Barreiro,1,1,1,1,0,C,16,
1906,K197,PERSIANA 1.50x1.70 TEC BLACK-OUT 197,G2,1,1,1,1,0,C,16,
1907,11204,"TAPETE 0,40X0,60 ARUNA C/ FRANJAS",Tupis,1,1,1,1,0,C,16,
1907,11204,"TAPETE 0,40X0,60 ARUNA C/ FRANJAS",Barreiro,1,1,1,1,0,C,16,
1907,11204,"TAPETE 0,40X0,60 ARUNA C/ FRANJAS",Betim,1,1,1,1,0,C,16,
1907,11204,"TAPETE 0,40X0,60 ARUNA C/ FRANJAS",G2,1,0,1,1,1,C,16,
1907,11204,"TAPETE 0,40X0,60 ARUNA C/ FRANJAS",Eldorado 2,1,1,1,1,0,C,16,
1907,11204,"TAPETE 0,40X0,60 ARUNA C/ FRANJAS",Babita,1,1,1,1,0,C,16,
1907,11204,"TAPETE 0,40X0,60 ARUNA C/ FRANJAS",Venda Nova,1,0,1,1,1,C,16,
1907,11204,"TAPETE 0,40X0,60 ARUNA C/ FRANJAS",Guaranis,1,0,1,1,2,C,16,
1908,11205,"PASSADEIRA 0,43X1,35 GOUVEA ATENAS",Eldorado 2,1,1,1,1,0,C,16,
1909,11206,"PASSADEIRA 0,48X1,35 GOUVEA EGITO",Venda Nova,1,1,1,1,0,C,16,
1909,11206,"PASSADEIRA 0,48X1,35 GOUVEA EGITO",G2,1,1,1,1,0,C,16,
1910,11207,"PASSADEIRA 0,48X1,47 GOUVEA XADREZ",Venda Nova,1,1,1,1,0,C,16,
1911,9053,"PASSADEIRA 0,43X1,35 GOUVEA BALAO",Betim,1,1,1,1,0,C,16,
1911,9053,"PASSADEIRA 0,43X1,35 GOUVEA BALAO",Eldorado 2,1,0,1,1,1,C,16,
1911,9053,"PASSADEIRA 0,43X1,35 GOUVEA BALAO",Venda Nova,1,1,1,1,0,C,16,
1912,11208,"TAPETE 0,43X0,60 GOUVEA ATENAS",Betim,1,1,1,1,0,C,16,
1912,11208,"TAPETE 0,43X0,60 GOUVEA ATENAS",Venda Nova,1,1,1,1,0,C,16,
1912,11208,"TAPETE 0,43X0,60 GOUVEA ATENAS",Barreiro,1,1,1,1,0,C,16,
1913,11209,"TAPETE 0,48X0,70 GOUVEA EGITO",Guaranis,1,1,1,1,0,C,16,
1913,11209,"TAPETE 0,48X0,70 GOUVEA EGITO",Betim,1,1,1,1,0,C,16,
1913,11209,"TAPETE 0,48X0,70 GOUVEA EGITO",Venda Nova,1,1,1,1,0,C,16,
1913,11209,"TAPETE 0,48X0,70 GOUVEA EGITO",Barreiro,1,1,1,1,0,C,16,
1914,11210,"TAPETE 0,48X0,70 GOUVEA XADREZ",Guaranis,1,1,1,1,0,C,16,
1914,11210,"TAPETE 0,48X0,70 GOUVEA XADREZ",Eldorado 2,1,1,1,1,0,C,16,
1914,11210,"TAPETE 0,48X0,70 GOUVEA XADREZ",Venda Nova,1,0,1,1,7,C,16,
1915,11211,"TAPETE 1,40X2,00 GOUVEA ATENAS",Babita,1,1,1,1,0,C,16,
1915,11211,"TAPETE 1,40X2,00 GOUVEA ATENAS",Barreiro,1,1,1,1,0,C,16,
1915,11211,"TAPETE 1,40X2,00 GOUVEA ATENAS",Eldorado 2,1,1,1,1,0,C,16,
1916,9059,"TAPETE 0,43X0,60 GOUVEA BALAO",Barreiro,1,1,1,1,0,C,16,
1917,11212,ALMOFADAS KIT ARTSUL 5 PS,G2,1,1,1,1,0,C,16,
1918,11222,"TAPETE 0,40X0,60 OAZI OVAL",Guaranis,1,0,1,1,7,C,16,
1918,11222,"TAPETE 0,40X0,60 OAZI OVAL",Venda Nova,1,0,1,1,8,C,16,
1918,11222,"TAPETE 0,40X0,60 OAZI OVAL",Barreiro,1,0,1,1,5,C,16,
1918,11222,"TAPETE 0,40X0,60 OAZI OVAL",Betim,1,0,1,1,7,C,16,
1918,11222,"TAPETE 0,40X0,60 OAZI OVAL",Babita,1,0,1,1.1005018462695204,6,C,34,
1918,11222,"TAPETE 0,40X0,60 OAZI OVAL",G2,1,0,1,1.2216476029655388,7,C,16,
1918,11222,"TAPETE 0,40X0,60 OAZI OVAL",Tupis,1,0,1,1,7,C,16,
1918,11222,"TAPETE 0,40X0,60 OAZI OVAL",Eldorado 2,1,0,1,1,7,C,16,
1919,11221,"TAPETE 0,40X0,60 PORTA COLORS",Babita,1,1,1,1,0,C,16,
1919,11221,"TAPETE 0,40X0,60 PORTA COLORS",G2,1,1,1,1,0,C,16,
1920,9282,CORTINA SARON SOB MEDIDA,Babita,3,0,3,33.3363503847002,98619,A,16,
1920,9282,CORTINA SARON SOB MEDIDA,Venda Nova,2,0,2,9.065990024006393,999158,B,16,
1920,9282,CORTINA SARON SOB MEDIDA,Barreiro,3,0,3,40.34105862397692,997841,A,16,
